store_id,party,source_store_id,source_identifier,store_name,operator_id,street_address,town,county,postcode,latitude,longitude,source,location_type,public,street_address2,street_address3,temporarily_closed,permanently_closed
SC-4700812,Southern Co-op,4700812,9822.0,Welcome Shirley,2183408,118-122 Orchard Way,Croydon,Greater London,CR0 7NN,51.38602983,-0.04009346,Southern Co-op Uberall API,,,,,,
SC-4700813,Southern Co-op,4700813,9744.0,Welcome Cliffe Woods,2183408,9-11 Parkside,Medway,Medway,ME3 8HX,51.43423227,0.49651982,Southern Co-op Uberall API,,,,,,
SC-4700815,Southern Co-op,4700815,9787.0,Welcome Ashtead,2183408,46 The Street,Ashtead,Surrey,KT21 1AZ,51.3090621,-0.2998355,Southern Co-op Uberall API,,,,,,
SC-4700816,Southern Co-op,4700816,9718.0,Welcome Ash,2183408,20 The Street,Ash,Kent,CT3 2EW,51.2792272,1.2763508,Southern Co-op Uberall API,,,,,,
SC-4700817,Southern Co-op,4700817,9726.0,Welcome Angel Islington,2183408,47-49 Packington Street,London,Greater London,N1 7FZ,51.536246,-0.0963168,Southern Co-op Uberall API,,,,,,
SC-4700818,Southern Co-op,4700818,9745.0,Welcome Buckskin,2183408,Blackdown Close,Basingstoke,Hampshire,RG22 5BW,51.2563472,-1.1335096,Southern Co-op Uberall API,,,,,,
SC-4700819,Southern Co-op,4700819,9719.0,Welcome Rowtown,2183408,2 Ongar Parade,Addlestone,Surrey,KT15 1JH,51.36339673,-0.50554418,Southern Co-op Uberall API,,,,,,
SC-4700820,Southern Co-op,4700820,9727.0,Welcome Rickmansworth,2183408,5-6 Moneyhill Parade,Rickmansworth,Hertfordshire,WD3 7BQ,51.63643006,-0.48364936,Southern Co-op Uberall API,,,,,,
SC-4700823,Southern Co-op,4700823,9717.0,Welcome Cranbrook,2183408,58 High Street,Cranbrook,Kent,TN17 3DN,51.09615734,0.53481466,Southern Co-op Uberall API,,,,,,
SC-4700824,Southern Co-op,4700824,9716.0,Welcome Shere,2183408,Middle Street,Shere,Surrey,GU5 9HF,51.22025994,-0.46433315,Southern Co-op Uberall API,,,,,,
SC-4700825,Southern Co-op,4700825,9738.0,Welcome Manor Road,2183408,Manor Road,Lancing,West Sussex,BN15 0HL,50.83770887,-0.32851993,Southern Co-op Uberall API,,,,,,
SC-4700826,Southern Co-op,4700826,9724.0,Welcome Royal Exchange,2183408,87-91 Royal Exchange,Newport,Isle of Wight,PO30 2HW,50.6986833,-1.2824648,Southern Co-op Uberall API,,,,,,
SC-4700828,Southern Co-op,4700828,9729.0,Welcome Swiss Cottage,2183408,2-4 Winchester Road,London,Greater London,NW3 3NT,51.54293548,-0.17174922,Southern Co-op Uberall API,,,,,,
SC-4700829,Southern Co-op,4700829,9720.0,Welcome Durrington,2183408,2 Half Moon Lane,Worthing,West Sussex,BN13 2EL,50.83531244,-0.39795203,Southern Co-op Uberall API,,,,,,
SC-4700830,Southern Co-op,4700830,9728.0,Welcome Southwater,2183408,Worthing Road,Horsham,West Sussex,RH13 9HA,51.0282558,-0.3517982,Southern Co-op Uberall API,,,,,,
SC-4700831,Southern Co-op,4700831,9722.0,Welcome University of Bath,2183408,Convocation Avenue,Bath,Bath and North East Somerset,BA2 7AY,51.37821916,-2.32561245,Southern Co-op Uberall API,,,,,,
SC-4700833,Southern Co-op,4700833,9702.0,Welcome Sholing,2183408,430 Bursledon Road,Southampton,Southampton,SO19 8NG,50.9014204,-1.3322342,Southern Co-op Uberall API,,,,,,
SC-4700834,Southern Co-op,4700834,9721.0,Welcome Lower Willingdon,2183408,2-4 Coppice Avenue,Eastbourne,East Sussex,BN20 9PN,50.80788879,0.24796738,Southern Co-op Uberall API,,,,,,
SC-4700835,Southern Co-op,4700835,9723.0,Welcome Bembridge,2183408,Lane End Road,Bembridge,Isle of Wight,PO35 5UE,50.6867472,-1.0804209,Southern Co-op Uberall API,,,,,,
SC-4700837,Southern Co-op,4700837,9749.0,Welcome Mytchett,2183408,103 Mytchett Road,Camberley,Surrey,GU16 6ES,51.2903698,-0.7254733,Southern Co-op Uberall API,,,,,,
SC-4700838,Southern Co-op,4700838,9743.0,Welcome Shepherd's Bush,2183408,54 Uxbridge Road,London,Greater London,W12 8LP,51.5045336,-0.21912976,Southern Co-op Uberall API,,,,,,
SC-4700839,Southern Co-op,4700839,9753.0,Welcome Ewell,2183408,82 High Street,Epsom,Surrey,KT17 1RE,51.3476478,-0.2501838,Southern Co-op Uberall API,,,,,,
