centroid_store_id,centroid_party,other_store_id,other_party
SC-4705185,Southern Co-op,CG-109634-0000,Co-operative Group
SC-4705185,Southern Co-op,CG-105811-0000,Co-operative Group
SC-4705325,Southern Co-op,CG-105811-0000,Co-operative Group
SC-4705184,Southern Co-op,CG-109626-0000,Co-operative Group
SC-4705184,Southern Co-op,CG-105835-0000,Co-operative Group
SC-4705184,Southern Co-op,CG-107831-0000,Co-operative Group
SC-4700842,Southern Co-op,CG-106698-0000,Co-operative Group
SC-4700870,Southern Co-op,CG-106698-0000,Co-operative Group
SC-4705359,Southern Co-op,CG-105434-0000,Co-operative Group
SC-4705359,Southern Co-op,CG-103661-0000,Co-operative Group
SC-4705307,Southern Co-op,CG-104955-0000,Co-operative Group
SC-4705307,Southern Co-op,CG-104900-0000,Co-operative Group
SC-4705190,Southern Co-op,CG-105228-0000,Co-operative Group
SC-4705190,Southern Co-op,CG-107820-0000,Co-operative Group
SC-4705191,Southern Co-op,CG-107590-0000,Co-operative Group
SC-4705330,Southern Co-op,CG-107590-0000,Co-operative Group
SC-4705332,Southern Co-op,CG-109674-0000,Co-operative Group
SC-4705191,Southern Co-op,CG-106003-0000,Co-operative Group
SC-4705330,Southern Co-op,CG-106003-0000,Co-operative Group
SC-4705191,Southern Co-op,CG-105048-0000,Co-operative Group
SC-4705330,Southern Co-op,CG-105048-0000,Co-operative Group
SC-4705233,Southern Co-op,CG-105992-0000,Co-operative Group
SC-4705332,Southern Co-op,CG-107327-0000,Co-operative Group
SC-4705327,Southern Co-op,CG-104129-0000,Co-operative Group
SC-4705195,Southern Co-op,CG-109713-0000,Co-operative Group
SC-4700896,Southern Co-op,CG-105356-0000,Co-operative Group
SC-4705327,Southern Co-op,CG-105356-0000,Co-operative Group
SC-4700896,Southern Co-op,CG-107312-0000,Co-operative Group
SC-4705195,Southern Co-op,CG-107312-0000,Co-operative Group
SC-4705327,Southern Co-op,CG-107312-0000,Co-operative Group
SC-4705338,Southern Co-op,CG-105283-0000,Co-operative Group
SC-4700847,Southern Co-op,CG-106668-0000,Co-operative Group
SC-4705180,Southern Co-op,CG-109707-0000,Co-operative Group
SC-4700896,Southern Co-op,CG-156316-0000,Co-operative Group
SC-4705293,Southern Co-op,CG-109485-0000,Co-operative Group
SC-4700847,Southern Co-op,CG-106834-0000,Co-operative Group
SC-4705342,Southern Co-op,CG-106055-0000,Co-operative Group
SC-4705181,Southern Co-op,CG-105722-0000,Co-operative Group
SC-4705183,Southern Co-op,CG-105722-0000,Co-operative Group
SC-4700847,Southern Co-op,CG-109476-0000,Co-operative Group
SC-4705342,Southern Co-op,CG-107965-0000,Co-operative Group
SC-4705293,Southern Co-op,CG-106263-0000,Co-operative Group
SC-4705183,Southern Co-op,CG-105396-0000,Co-operative Group
SC-4705300,Southern Co-op,CG-105306-0000,Co-operative Group
SC-4705321,Southern Co-op,CG-107303-0000,Co-operative Group
SC-4705351,Southern Co-op,CG-107303-0000,Co-operative Group
SC-4705336,Southern Co-op,CG-108810-0000,Co-operative Group
SC-4705271,Southern Co-op,CG-105770-0000,Co-operative Group
SC-4705258,Southern Co-op,CG-106587-0000,Co-operative Group
SC-4705272,Southern Co-op,CG-106587-0000,Co-operative Group
SC-4705296,Southern Co-op,CG-105590-0000,Co-operative Group
SC-4705296,Southern Co-op,CG-107904-0000,Co-operative Group
SC-4700833,Southern Co-op,CG-105415-0000,Co-operative Group
SC-4700833,Southern Co-op,CG-107688-0000,Co-operative Group
SC-4700833,Southern Co-op,CG-107951-0000,Co-operative Group
SC-4705280,Southern Co-op,CG-109722-0000,Co-operative Group
SC-4705216,Southern Co-op,CG-109733-0000,Co-operative Group
SC-4705220,Southern Co-op,CG-109733-0000,Co-operative Group
SC-4700833,Southern Co-op,CG-108814-0000,Co-operative Group
SC-4705286,Southern Co-op,CG-107601-0000,Co-operative Group
SC-4705273,Southern Co-op,CG-109718-0000,Co-operative Group
SC-4700832,Southern Co-op,CG-104171-0000,Co-operative Group
SC-4705239,Southern Co-op,CG-104171-0000,Co-operative Group
SC-4705243,Southern Co-op,CG-109734-0000,Co-operative Group
SC-4705308,Southern Co-op,CG-109719-0000,Co-operative Group
SC-4705347,Southern Co-op,CG-109725-0000,Co-operative Group
SC-4705205,Southern Co-op,CG-107627-0000,Co-operative Group
SC-4700871,Southern Co-op,CG-105106-0000,Co-operative Group
SC-5029687,Southern Co-op,CG-105106-0000,Co-operative Group
SC-4700871,Southern Co-op,CG-107209-0000,Co-operative Group
SC-5029687,Southern Co-op,CG-107209-0000,Co-operative Group
SC-4705230,Southern Co-op,CG-107209-0000,Co-operative Group
SC-4705268,Southern Co-op,CG-107209-0000,Co-operative Group
SC-4700871,Southern Co-op,CG-105291-0000,Co-operative Group
SC-4705230,Southern Co-op,CG-105291-0000,Co-operative Group
SC-4705268,Southern Co-op,CG-105291-0000,Co-operative Group
SC-4700871,Southern Co-op,CG-109738-0000,Co-operative Group
SC-4705230,Southern Co-op,CG-109738-0000,Co-operative Group
SC-4705268,Southern Co-op,CG-109738-0000,Co-operative Group
SC-4705178,Southern Co-op,CG-106091-0000,Co-operative Group
SC-4705207,Southern Co-op,CG-106074-0000,Co-operative Group
