addressExtra,businessId,callToActions,city,country,distance,fax,futureOpeningDate,id,identifier,inventory,lat,lng,name,openingHours,openingHoursNotes,openNow,phone,photos,province,specialOpeningHours,streetAndNumber,zip,nextOpen.closedNow,nextOpen.neverOpens,nextOpen.dayOfWeek,nextOpen.hour,nextOpen.date
"Ground Floor, Shirley",2183408,[],Croydon,UK,,,,4700812,9822,[],51.38602983,-0.04009346,Welcome Shirley,"[{'dayOfWeek': 1, 'from1': '07:00', 'to1': '22:00'}, {'dayOfWeek': 2, 'from1': '07:00', 'to1': '22:00'}, {'dayOfWeek': 3, 'from1': '07:00', 'to1': '22:00'}, {'dayOfWeek': 4, 'from1': '07:00', 'to1': '22:00'}, {'dayOfWeek': 5, 'from1': '07:00', 'to1': '22:00'}, {'dayOfWeek': 6, 'from1': '07:00', 'to1': '22:00'}, {'dayOfWeek': 7, 'from1': '07:00', 'to1': '22:00'}]",,True,+44 20 4501 4098,"[{'publicUrl': 'https://locator.uberall.com/uberall-userpics-prod-optimized/4700812/thumb_3qxRQqLyWf.png', 'type': 'MAIN', 'description': None}]",Greater London,[],118-122 Orchard Way,CR0 7NN,False,,,,
Cliffe Woods,2183408,[],Medway,UK,,,,4700813,9744,[],51.43423227,0.49651982,Welcome Cliffe Woods,"[{'dayOfWeek': 1, 'from1': '07:00', 'to1': '21:00'}, {'dayOfWeek': 2, 'from1': '07:00', 'to1': '21:00'}, {'dayOfWeek': 3, 'from1': '07:00', 'to1': '21:00'}, {'dayOfWeek': 4, 'from1': '07:00', 'to1': '21:00'}, {'dayOfWeek': 5, 'from1': '07:00', 'to1': '21:00'}, {'dayOfWeek': 6, 'from1': '07:00', 'to1': '21:00'}, {'dayOfWeek': 7, 'from1': '07:00', 'to1': '21:00'}]",Post Office services available: Mon-Sun 06:00 - 22:00,True,+44 1634 222073,"[{'publicUrl': 'https://locator.uberall.com/uberall-userpics-prod-optimized/4700813/thumb_iKHzxNdYnw.png', 'type': 'MAIN', 'description': None}]",Medway,[],9-11 Parkside,ME3 8HX,False,,,,
,2183408,[],Ashtead,UK,,,,4700815,9787,[],51.3090621,-0.2998355,Welcome Ashtead,"[{'dayOfWeek': 1, 'from1': '07:00', 'to1': '22:00'}, {'dayOfWeek': 2, 'from1': '07:00', 'to1': '22:00'}, {'dayOfWeek': 3, 'from1': '07:00', 'to1': '22:00'}, {'dayOfWeek': 4, 'from1': '07:00', 'to1': '22:00'}, {'dayOfWeek': 5, 'from1': '07:00', 'to1': '22:00'}, {'dayOfWeek': 6, 'from1': '07:00', 'to1': '22:00'}, {'dayOfWeek': 7, 'from1': '07:00', 'to1': '22:00'}]",,True,+44 1372 276333,"[{'publicUrl': 'https://locator.uberall.com/uberall-userpics-prod-optimized/4700815/thumb_jPWHpBjv9e.png', 'type': 'MAIN', 'description': None}]",Surrey,[],46 The Street,KT21 1AZ,False,,,,
,2183408,[],Ash,UK,,,,4700816,9718,[],51.2792272,1.2763508,Welcome Ash,"[{'dayOfWeek': 1, 'from1': '07:00', 'to1': '21:00'}, {'dayOfWeek': 2, 'from1': '07:00', 'to1': '21:00'}, {'dayOfWeek': 3, 'from1': '07:00', 'to1': '21:00'}, {'dayOfWeek': 4, 'from1': '07:00', 'to1': '21:00'}, {'dayOfWeek': 5, 'from1': '07:00', 'to1': '21:00'}, {'dayOfWeek': 6, 'from1': '07:00', 'to1': '21:00'}, {'dayOfWeek': 7, 'from1': '07:30', 'to1': '21:00'}]",,True,+44 1304 814368,"[{'publicUrl': 'https://locator.uberall.com/uberall-userpics-prod-optimized/4700816/thumb_pzmQxtIyDJ.jpg', 'type': 'MAIN', 'description': None}]",Kent,[],20 The Street,CT3 2EW,False,,,,
,2183408,[],London,UK,,,,4700817,9726,[],51.536246,-0.0963168,Welcome Angel Islington,"[{'dayOfWeek': 1, 'from1': '07:00', 'to1': '22:00'}, {'dayOfWeek': 2, 'from1': '07:00', 'to1': '22:00'}, {'dayOfWeek': 3, 'from1': '07:00', 'to1': '22:00'}, {'dayOfWeek': 4, 'from1': '07:00', 'to1': '22:00'}, {'dayOfWeek': 5, 'from1': '07:00', 'to1': '22:00'}, {'dayOfWeek': 6, 'from1': '07:00', 'to1': '22:00'}, {'dayOfWeek': 7, 'from1': '07:00', 'to1': '22:00'}]",,True,+44 20 7226 1587,"[{'publicUrl': 'https://locator.uberall.com/uberall-userpics-prod-optimized/4700817/thumb_xk8SBFt7un.png', 'type': 'MAIN', 'description': None}]",Greater London,[],47-49 Packington Street,N1 7FZ,False,,,,
The Buckskin,2183408,[],Basingstoke,UK,,,,4700818,9745,[],51.2563472,-1.1335096,Welcome Buckskin,"[{'dayOfWeek': 1, 'from1': '07:00', 'to1': '23:00'}, {'dayOfWeek': 2, 'from1': '07:00', 'to1': '23:00'}, {'dayOfWeek': 3, 'from1': '07:00', 'to1': '23:00'}, {'dayOfWeek': 4, 'from1': '07:00', 'to1': '23:00'}, {'dayOfWeek': 5, 'from1': '07:00', 'to1': '23:00'}, {'dayOfWeek': 6, 'from1': '07:00', 'to1': '23:00'}, {'dayOfWeek': 7, 'from1': '08:00', 'to1': '22:00'}]",,True,+44 1256 334934,"[{'publicUrl': 'https://locator.uberall.com/uberall-userpics-prod-optimized/4700818/thumb_yn50HBz66P.jpg', 'type': 'MAIN', 'description': None}]",Hampshire,[],Blackdown Close,RG22 5BW,False,,,,
Ongar Hill,2183408,[],Addlestone,UK,,,,4700819,9719,[],51.36339673,-0.50554418,Welcome Rowtown,"[{'dayOfWeek': 1, 'from1': '06:00', 'to1': '21:00'}, {'dayOfWeek': 2, 'from1': '06:00', 'to1': '21:00'}, {'dayOfWeek': 3, 'from1': '06:00', 'to1': '21:00'}, {'dayOfWeek': 4, 'from1': '06:00', 'to1': '21:00'}, {'dayOfWeek': 5, 'from1': '06:00', 'to1': '21:00'}, {'dayOfWeek': 6, 'from1': '06:00', 'to1': '21:00'}, {'dayOfWeek': 7, 'from1': '07:00', 'to1': '21:00'}]",,True,+44 1932 848102,"[{'publicUrl': 'https://locator.uberall.com/uberall-userpics-prod-optimized/4700819/thumb_fpgah3k8sy.png', 'type': 'MAIN', 'description': None}]",Surrey,[],2 Ongar Parade,KT15 1JH,False,,,,
,2183408,[],Rickmansworth,UK,,,,4700820,9727,[],51.63643006,-0.48364936,Welcome Rickmansworth,"[{'dayOfWeek': 1, 'from1': '07:00', 'to1': '22:00'}, {'dayOfWeek': 2, 'from1': '07:00', 'to1': '22:00'}, {'dayOfWeek': 3, 'from1': '07:00', 'to1': '22:00'}, {'dayOfWeek': 4, 'from1': '07:00', 'to1': '22:00'}, {'dayOfWeek': 5, 'from1': '07:00', 'to1': '22:00'}, {'dayOfWeek': 6, 'from1': '07:00', 'to1': '22:00'}, {'dayOfWeek': 7, 'from1': '07:00', 'to1': '22:00'}]",,True,+44 1923 903665,"[{'publicUrl': 'https://locator.uberall.com/uberall-userpics-prod-optimized/4700820/thumb_2arMnTjtJN.jpg', 'type': 'MAIN', 'description': None}]",Hertfordshire,[],5-6 Moneyhill Parade,WD3 7BQ,False,,,,
,2183408,[],Cranbrook,UK,,,,4700823,9717,[],51.09615734,0.53481466,Welcome Cranbrook,"[{'dayOfWeek': 1, 'from1': '07:00', 'to1': '21:30'}, {'dayOfWeek': 2, 'from1': '07:00', 'to1': '21:30'}, {'dayOfWeek': 3, 'from1': '07:00', 'to1': '21:30'}, {'dayOfWeek': 4, 'from1': '07:00', 'to1': '21:30'}, {'dayOfWeek': 5, 'from1': '07:00', 'to1': '21:30'}, {'dayOfWeek': 6, 'from1': '07:00', 'to1': '21:30'}, {'dayOfWeek': 7, 'from1': '08:00', 'to1': '21:30'}]",,True,+44 1580 714410,"[{'publicUrl': 'https://locator.uberall.com/uberall-userpics-prod-optimized/4700823/thumb_1PGFGVeqKJ.png', 'type': 'MAIN', 'description': None}]",Kent,[],58 High Street,TN17 3DN,False,,,,
,2183408,[],Shere,UK,,,,4700824,9716,[],51.22025994,-0.46433315,Welcome Shere,"[{'dayOfWeek': 1, 'from1': '07:00', 'to1': '21:00'}, {'dayOfWeek': 2, 'from1': '07:00', 'to1': '21:00'}, {'dayOfWeek': 3, 'from1': '07:00', 'to1': '21:00'}, {'dayOfWeek': 4, 'from1': '07:00', 'to1': '21:00'}, {'dayOfWeek': 5, 'from1': '07:00', 'to1': '21:00'}, {'dayOfWeek': 6, 'from1': '08:00', 'to1': '21:00'}, {'dayOfWeek': 7, 'from1': '08:00', 'to1': '21:00'}]",,True,+44 1483 202907,"[{'publicUrl': 'https://locator.uberall.com/uberall-userpics-prod-optimized/4700824/thumb_D9jkzZ7tbN.png', 'type': 'MAIN', 'description': None}]",Surrey,[],Middle Street,GU5 9HF,False,,,,
